# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.7909518525803976,0.5022716812350944,0.04144455323146472,0,3.0,0.11778236474799511,0.0,0.0,0.019783226473916553
 0.08979856832148914,1.8030475237248933,0.502280430566691,0.04144455323146472,0.2693957049644674,3.0,0.11778236474799511,0.001776505414137488,2.182522869398638,0.1413792179271426
 0.12749318701969276,1.8153335898804983,0.502306958869261,0.12371392059355564,0.38247956105907827,3.0,0.11519202800406887,0.007105741125751361,2.792717632082344,0.30353440898448447
 0.15675222388047094,1.8278086301303889,0.5023516866044742,0.20542614873239812,0.4702566716414129,3.0000000000000018,0.11276474386184655,0.015986865586742914,3.2557325373320594,0.4984040896970707
 0.18169505848967332,1.8404712235577418,0.5024150342340001,0.28663334694287046,0.5450851754690201,3.0000000000000044,0.11048784009836707,0.028418476364607016,3.6350610400663728,0.71935763757677
 0.2039095081104679,1.8533199492457337,0.5024974222195087,0.36738422728593806,0.6117285243314039,3.0000000000000013,0.10834987708853895,0.04439861036388998,3.9583366264278825,0.962046839514633
 0.2242059562357461,1.8663533862775412,0.5025992710226698,0.4477244012866203,0.6726178687072385,3.0,0.10634050783457451,0.06392474413618657,4.240875590023066,1.2233365634050948
 0.24306344062109028,1.8795701137363403,0.502721001105153,0.5276966465056676,0.729190321863271,3.0,0.10445035584347384,0.08699379427861875,4.492310047669532,1.500829807847938
 0.26079251523234254,1.8929687107053086,0.5028630329286284,0.6073411465176789,0.7823775456970279,3.000000000000005,0.10267090884800252,0.11360211792074623,4.719195927070995,1.7926202004169896
 0.27760778673940983,1.9065477562676219,0.5030257869547656,0.6866957073264238,0.8328233602182299,3.0000000000000067,0.10099442552513493,0.1437455132998113,4.92624473447396,2.097148007706668
 0.29366469211790075,1.9203058295064568,0.5032096836452344,0.7657959528991614,0.8809940763537026,3.0,0.09941385381785327,0.17741922042424801,5.116979479353955,2.4131095269472973
 0.3090799482369045,1.93424150950499,0.5034151434617049,0.8446755021290889,0.9272398447107139,3.0,0.09792275921293339,0.21461792182534856,5.294115220135896,2.7393966317924288
 0.32394374017525757,1.9483533753463982,0.5036425868658463,0.9233661292588572,0.9718312205257731,3.0,0.09651526143852959,0.25533574339693643,5.459794594795622,3.075054570141107
 0.33832739123482347,1.962640006113858,0.503892434319329,1.0018979095673015,1.0149821737044709,3.000000000000004,0.09518597829760178,0.29956625532296954,5.615741165765813,3.4192514251128823
 0.35228840545545365,1.9770999808905456,0.5041651062838224,1.0802993518419364,1.0568652163663612,2.999999999999988,0.0939299765774874,0.3473024730928805,5.7633634131704214,3.771255361390048
 0.36587390434162276,1.991731878759638,0.5044610232209964,1.158597519072151,1.0976217130248684,2.999999999999992,0.09274272824707469,0.3985368586045043,5.903827654811926,4.130417258338618
 0.3791230410092227,2.0065342788043115,0.5047806055925208,1.2368181385327102,1.1373691230276683,3.0,0.09162007092148934,0.4532613213544462,6.038110630308069,4.496157183806058
 0.39206874018781085,2.021505760107743,0.5051242738600655,1.3149857023597136,1.1762062205634327,3.0,0.09055817405014324,0.5114672197156473,6.167038326871733,4.867953676789574
 0.404738980432793,2.0366449017531085,0.5054924484853002,1.3931235595611913,1.2142169412983792,3.0000000000000044,0.08955350748098193,0.5731453623020154,6.291315234326715,5.24533512961267
 0.4171577574047486,2.051950282823585,0.5058855499298947,1.4712540003165613,1.2514732722142459,2.999999999999991,0.08860281405691352,0.6382860094198389,6.41154677670973,5.62787276930454
 0.4293458199281377,2.067420482402349,0.5063039986555187,1.5493983333027332,1.288037459784413,2.9999999999999907,0.08770308491317448,0.7068788746058017,6.528256778610192,6.015174877314912
 0.4413212409449398,2.083054079572577,0.5067482151238422,1.6275769567323826,1.3239637228348193,2.9999999999999956,0.08685153724799086,0.7789131262513387,6.641901247143161,6.4068819821311696
 0.45309986637806027,2.098849653417446,0.5072186197965348,1.7058094236862575,1.3592995991341807,3.0,0.08604559488334222,0.8543773893130702,6.752879378423083,6.802662826120336
 0.4646956722870476,2.114805783020132,0.5077156331352664,1.7841145022852547,1.3940870168611428,3.0,0.08528286961728224,0.9332597471090449,6.861542439674404,7.2022109555787805
 0.47612105215984213,2.1309210474638114,0.5082396756017068,1.862510231171836,1.4283631564795265,3.0000000000000147,0.084561146082883,1.0155477432005349,6.968201005361053,7.605241817572687
 0.48738705029819696,2.1471940258316615,0.5087911676575259,1.941013970725916,1.462161150894591,3.0000000000000098,0.08387836670803057,1.101228383359047,7.073130904031992,8.011490272725764
 0.49850355312444433,2.1636232972068585,0.5093705297643932,2.019642450411005,1.4955106593733332,2.999999999999995,0.08323261875433592,1.1902881376182564,7.176578141612702,8.420708452235425
 0.5094794472925603,2.180207440672579,0.5099781823839787,2.098411812582561,1.5284383418776812,3.000000000000005,0.08262212266286868,1.2827129424105523,7.27876300723907,8.832663901928845
 0.5203227513558303,2.1969450353119995,0.5106145459779522,2.1773376530745354,1.560968254067491,2.99999999999999,0.08204522072678527,1.3784882027878351,7.379883519088081,9.247137967324763
 0.531040726180972,2.213834660208297,0.5112800410079835,2.2564350588445996,1.593122178542916,2.99999999999999,0.08150036832277506,1.477598794726234,7.480118332963863,9.663924382324387
 0.5416399681385623,2.230874894444647,0.5119750879357423,2.3357186429270906,1.624919904415687,3.0000000000000107,0.08098612439244489,1.5800290675143467,7.579629211556999,10.082828030953916
